a, b, c, d, e, f, g, h, i
10.000000, 10.000000, 10.000000, 154.343825, -0.994269, 0.064146, -0.085528, 7.818505, 7.000000   
2.226306, 10.501529, 9.331295, -14.399913, -0.159337, -0.549094, -0.820431, 18.658898, 14.000000   
-0.746744, 0.256038, -5.977048, -22.388889, 0.056441, 0.646046, -0.761209, 3.387385, 19.000000   
