Starting_Point_1,Starting_Point_2,Starting_Point_3,Function_Value,Search_Direction_1,Search_Direction_2,Search_Direction_3,Step_Length,Number_of_Objective_Evaluations
10,10,10,154.343825237895,-0.994268636888286,0.064146363670212,-0.085528484893616,7.81850465484953,6
2.22630603431804,10.5015286429472,9.33129514273704,38.8831218604523,0.0335597741798594,-0.572299976344668,-0.819357357099385,12.5261363764174,12
2.64668034245672,3.33282109103348,-0.932086853310752,1.54724438291317,-0.976542791930044,0.155690428088763,-0.148743625513878,2.51218337674264,16
0.193425773892218,3.72394399639602,-1.30575811672315,-12.9922935777332,0.12368852780999,-0.159847435662576,-0.979362009371558,4.38082569107485,20
0.735283654213447,3.02368024359297,-5.59617236824076,-18.6662442589731,-0.981908551540326,0.122883612249977,-0.144066700706221,0.979809181677512,27
-0.226799360153431,3.1440827351532,-5.7373302443667,-20.9137703745032,0.104303468098185,-0.28399689466882,-0.953135116529214,1.72100634022228,31
-0.0472924302492809,2.65532227882472,-7.37768182300198,-21.8041285773552,-0.980760016804212,0.129641863009081,-0.145954708021829,0.388141914496592,36
-0.427966500833377,2.70564171973197,-7.43433296280337,-22.1570785014427,0.108734663482943,-0.258161532557498,-0.95996322641277,0.681979693561797,42
-0.353811668351734,2.52958079686896,-8.08900838978294,-22.2969931439281,-0.98099733684842,0.128234119868874,-0.145603006829405,0.153865108887217,50
-0.504752930403986,2.54931155368564,-8.11141161228305,-22.3524589800408,0.107833068301496,-0.2635199680132,-0.958607978184517,0.270350408486487,55
-0.475600216340326,2.47806882268893,-8.37057167076364,-22.3744470968572,-0.980948305173643,0.128524485078899,-0.145677312276691,0.0609961747494527,62
-0.535434310582877,2.48590832464039,-8.3794574295603,-22.3831637754531,0.108019924654119,-0.262413845552273,-0.958890332384359,0.107174073251164,70
-0.523857375265411,2.45778436393505,-8.4822256122831,-22.3866193004049,-0.980958432372763,0.128464491296256,-0.145662034973994,0.0241805179660672,76
-0.547577458263366,2.46089070187484,-8.48574779573676,-22.3879891631545,0.107981355562833,-0.262642348620526,-0.958832114377646,0.0424866752595,82
-0.542989689475487,2.4497319016996,-8.5264853844087,-22.388532213481,-0.980956340558768,0.128476882365664,-0.145665193560952,0.00958580571653446,91
-0.552392946372486,2.45096345613303,-8.52788170265384,-22.3887474931927,0.107989323258211,-0.262595152139224,-0.958844143818594,0.0168428573598729,97
-0.550574097604459,2.44654060344215,-8.54403137779853,-22.3888328358433,-0.98095677262346,0.128474322923431,-0.145664541304775,0.00380007043578053,104
-0.554301802434884,2.44702881491845,-8.54458491331548,-22.3888666679586,0.107987677165503,-0.262604900676294,-0.958841659358412,0.00667696032179697,112
-0.553580772999207,2.44527541241633,-8.5509870610299,-22.3888800799162,-0.980956683435274,0.128474851715701,-0.145664675540422,0.0015064498229159,122
-0.555058535021256,2.44546895333394,-8.55120649755457,-22.3888853967759,0.107988018700913,-0.262602887298156,-0.958842172309772,0.00264692610022204,129
-0.554772698716045,2.44477386289756,-8.55374448192645,-22.3888875045216,-0.980956701710442,0.1284747421354,-0.145664649117806,0.000597197102057964,138
-0.555358523215551,2.44485058764125,-8.55383147243278,-22.3888883400887,0.107987919188733,-0.262603299372038,-0.958842070660339,0.00104931258894709,148
-0.555245210132492,2.44457503469332,-8.55483759748834,-22.3888886713298,-0.980956700837063,0.128474771824786,-0.145664628813704,0.000236744939746617,156
-0.555477446667526,2.44460545044543,-8.55487208285211,-22.3888888026426,0.107987926668374,-0.262603212545909,-0.958842093597499,0.000415975572082828,164
-0.555432526327952,2.44449621392386,-8.55527093774053,-22.3888888546986,-0.98095669753627,0.128474757227795,-0.145664663916798,9.38520584557538e-05,175
-0.555524591133271,2.44450827154429,-8.55528460866908,-22.3888888753348,0.107989538216823,-0.262603441740045,-0.958841849327615,0.000164902983876038,183
-0.555506783336192,2.44446496745317,-8.5554427245511,-22.3888888835157,-0.980956524939526,0.128474338867231,-0.145666195224549,3.72055442384908e-05,192
-0.555543280357577,2.44446974741087,-8.55544814414117,-22.3888888867588,0.107992091878304,-0.26260377244985,-0.95884147114466,6.5371686788223e-05,202
-0.555536220732371,2.44445258055931,-8.5555108252255,-22.3888888880444,-0.980956047316551,0.12847317714958,-0.145670436211952,1.47491301806089e-05,214
-0.555550688980814,2.44445447542692,-8.55551297373773,-22.3888888885542,0.107919713714942,-0.262594293313043,-0.958852216199717,2.59217889613148e-05,223
-0.55554789150877,2.44444766851307,-8.55553782890252,-22.3888888887563,-0.980963518675505,0.128491350374314,-0.145604079292987,5.84653074725032e-06,234
-0.555553626742144,2.4444484197417,-8.55553868018125,-22.3888888888364,0.107790893892528,-0.26257741737353,-0.958871327696942,1.02775526840171e-05,246
-0.555552518915554,2.44444572108846,-8.55554853503184,-22.3888888888681,-0.980978901771407,0.12852880199881,-0.14546732050916,2.31647187893072e-06,256
